cat,zh,en,candy,cond
高耗能,鯉魚王,magikarp,400,無
高耗能,吼吼鯨,wailmer,400,無
高耗能,青綿鳥,swablu,400,無
高耗能,童偶熊,stufful,400,無
高耗能,燃燒蟲,larvesta,400,目前最稀有的 400 糖進化寶可夢
高耗能,美錄坦,meltan,400,需連接 Switch 或 Home 開啟神秘盒子
夥伴任務,大蔥鴨(伽勒爾),farfetchd-galar,50,夥伴狀態投出 10 次 Excellent
夥伴任務,頑皮熊貓,pancham,50,夥伴狀態捕捉 32 隻惡屬性寶可夢
夥伴任務,千針魚(洗翠),qwilfish-hisui,50,夥伴狀態贏得 10 場團體戰
夥伴任務,哭哭面具(伽勒爾),yamask-galar,50,夥伴狀態贏得 10 場團體戰
夥伴任務,布土撥,pawmo,25,夥伴狀態行走 25 公里
夥伴任務,火爆猴,primeape,100,夥伴狀態擊敗 30 隻幽靈或超能力系
夥伴任務,紐拉(洗翠),sneasel-hisui,100,夥伴狀態白天行走 7 公里
夥伴任務,索羅亞克,zoroark,50,無 (索羅亞捕捉時會偽裝成夥伴)
交換進化,勇基拉,kadabra,100,交換後進化可免糖果
交換進化,豪力,machoke,100,交換後進化可免糖果
交換進化,鬼斯通,haunter,100,交換後進化可免糖果
交換進化,隆隆石,graveler,100,交換後進化可免糖果
交換進化,地幔岩,boldore,100,交換後進化可免糖果
交換進化,鐵骨土人,gurdurr,100,交換後進化可免糖果
交換進化,小嘴蝸,shelmet,50,需與蓋蓋蟲交換 (交換後 0 糖果)
交換進化,蓋蓋蟲,karrablast,50,需與小嘴蝸交換 (交換後 0 糖果)
環境/時間,好啦魷,inkay,50,將手機倒置 (螢幕朝下) 點選進化
環境/時間,岩狗狗(黃昏),rockruff,50,需在黃昏時間 (約 17:00-18:00) 進化
環境/時間,黏美兒,sliggoo,100,雨天環境或使用雨露誘餌模組
環境/時間,三蜜蜂,combee,50,僅限雌性可進化為女皇蜂
環境/時間,夜巡靈,duskull,25,需神奧之石
環境/時間,伊布(冰伊布),glaceon,25,在冰寒誘餌模組附近進化
環境/時間,伊布(葉伊布),leafeon,25,在藥草誘餌模組附近進化
環境/時間,朝北鼻,probopass,50,在磁鐵誘餌模組附近進化
環境/時間,自爆磁怪,magnezone,100,在磁鐵誘餌模組附近進化
