分類,中文名稱,英文 ID (PokeAPI),糖果,特殊條件
高耗能,鯉魚王,magikarp,400,無
高耗能,吼吼鯨,wailmer,400,無
高耗能,青綿鳥,swablu,400,無
高耗能,燃燒蟲,larvesta,400,極稀有進化
高耗能,美錄坦,meltan,400,需使用神秘盒子
夥伴任務,大蔥鴨(伽勒爾),farfetchd-galar,50,夥伴狀態投出 10 次 Excellent
夥伴任務,頑皮熊貓,pancham,50,夥伴狀態捕捉 32 隻惡屬性
夥伴任務,千針魚(洗翠),qwilfish-hisui,50,夥伴狀態贏得 10 場團體戰
夥伴任務,哭哭面具(伽勒爾),yamask-galar,50,夥伴狀態贏得 10 場團體戰
夥伴任務,飛腿郎/快拳郎,tyrogue,25,依據攻擊/防禦/體力最高值決定
夥伴任務,布土撥,pawmo,25,夥伴狀態行走 25 公里
道具進化,呆呆獸(伽勒爾),slowpoke-galar,50,夥伴狀態捕捉 30 隻毒屬性
環境模組,伊布(冰伊布),glaceon,25,在冰寒誘餌模組附近
環境模組,伊布(葉伊布),leafeon,25,在藥草誘餌模組附近
環境模組,鼻鼻龍,nosepass,50,在磁鐵誘餌模組附近
體感/時間,好啦魷,inkay,50,手機倒置進化
體感/時間,岩狗狗(黃昏),rockruff,50,傍晚時間進化 (17:00-18:00)
交換進化,勇基拉,kadabra,100,交換後 0 糖果進化
交換進化,豪力,machoke,100,交換後 0 糖果進化
交換進化,鬼斯通,haunter,100,交換後 0 糖果進化
交換進化,地幔岩,boldore,100,交換後 0 糖果進化
